id,source_id,name,created_at
1,728,beauty care equipment,2020-04-29
2,729,beauty care equipment,2020-04-29
3,730,beauty care equipment,2020-04-29
4,732,beauty care equipment,2020-04-29
5,733,beauty care equipment,2020-04-29
6,827,beauty care equipment,2020-04-29
7,1277,beauty care equipment,2020-04-29
8,1330,beauty care equipment,2020-04-29
9,1645,beauty care equipment,2020-04-29
10,22,big home appliances,2020-04-29
11,23,big home appliances,2020-04-29
12,24,big home appliances,2020-04-29
13,25,big home appliances,2020-04-29
14,26,big home appliances,2020-04-29
15,35,big home appliances,2020-04-29
16,45,big home appliances,2020-04-29
17,51,big home appliances,2020-04-29
18,722,big home appliances,2020-04-29
19,778,big home appliances,2020-04-29
20,712,books,2020-04-29
21,713,books,2020-04-29
22,714,books,2020-04-29
23,715,books,2020-04-29
24,716,books,2020-04-29
25,717,books,2020-04-29
26,718,books,2020-04-29
27,719,books,2020-04-29
28,720,books,2020-04-29
29,721,books,2020-04-29
30,738,books,2020-04-29
31,739,books,2020-04-29
32,740,books,2020-04-29
33,760,books,2020-04-29
34,930,books,2020-04-29
35,931,books,2020-04-29
36,74,car audio,2020-04-29
37,76,car audio,2020-04-29
38,585,car audio,2020-04-29
39,1245,car audio,2020-04-29
40,46,car electronics,2020-04-29
41,75,car electronics,2020-04-29
42,77,car electronics,2020-04-29
43,78,car electronics,2020-04-29
44,594,car electronics,2020-04-29
45,1419,car electronics,2020-04-29
46,40,climate equipment,2020-04-29
47,41,climate equipment,2020-04-29
48,47,climate equipment,2020-04-29
49,50,climate equipment,2020-04-29
50,103,climate equipment,2020-04-29
51,104,climate equipment,2020-04-29
53,9,computers,2020-04-29
54,10,computers,2020-04-29
55,11,computers,2020-04-29
56,60,computers,2020-04-29
57,64,computers,2020-04-29
58,65,computers,2020-04-29
59,67,computers,2020-04-29
60,68,computers,2020-04-29
61,69,computers,2020-04-29
62,95,computers,2020-04-29
63,98,computers,2020-04-29
64,111,computers,2020-04-29
65,112,computers,2020-04-29
66,113,computers,2020-04-29
67,116,computers,2020-04-29
68,226,computers,2020-04-29
69,230,computers,2020-04-29
71,583,computers,2020-04-29
72,584,computers,2020-04-29
74,650,computers,2020-04-29
75,853,computers,2020-04-29
76,890,computers,2020-04-29
77,979,computers,2020-04-29
78,1042,computers,2020-04-29
79,1294,computers,2020-04-29
80,1325,computers,2020-04-29
81,1438,computers,2020-04-29
82,1443,computers,2020-04-29
83,1656,computers,2020-04-29
84,1741,computers,2020-04-29
85,7,desktops,2020-04-29
86,49,headphones,2020-04-29
87,27,kitchen appliances,2020-04-29
88,28,kitchen appliances,2020-04-29
89,29,kitchen appliances,2020-04-29
90,30,kitchen appliances,2020-04-29
91,31,kitchen appliances,2020-04-29
92,32,kitchen appliances,2020-04-29
93,33,kitchen appliances,2020-04-29
94,48,kitchen appliances,2020-04-29
95,52,kitchen appliances,2020-04-29
96,70,kitchen appliances,2020-04-29
97,134,kitchen appliances,2020-04-29
98,135,kitchen appliances,2020-04-29
99,136,kitchen appliances,2020-04-29
100,167,kitchen appliances,2020-04-29
101,190,kitchen appliances,2020-04-29
102,305,kitchen appliances,2020-04-29
103,758,kitchen appliances,2020-04-29
104,1262,kitchen appliances,2020-04-29
105,1560,kitchen appliances,2020-04-29
106,1630,kitchen appliances,2020-04-29
107,410,memory cards,2020-04-29
108,588,notebooks,2020-04-29
109,563,perfumes,2020-04-29
110,150,portable speakers,2020-04-29
111,587,power banks,2020-04-29
112,36,small home appliances,2020-04-29
113,37,small home appliances,2020-04-29
114,38,small home appliances,2020-04-29
115,53,small home appliances,2020-04-29
116,108,small home appliances,2020-04-29
117,598,small home appliances,2020-04-29
118,1580,small home appliances,2020-04-29
119,44,smart watches,2020-04-29
120,3,smartphones,2020-04-29
121,197,tires,2020-04-29
122,54,wearables,2020-04-29
