id,cpu,rate,url
1,3200u,68,https://versus.com/ru/amd-ryzen-3-3200u
2,7100,72,https://versus.com/ru/intel-core-i3-7100
3,7500,72,https://versus.com/ru/intel-core-i5-7500
4,8130u,59,https://versus.com/ru/intel-core-i3-8130u
5,8250u,60,https://versus.com/ru/intel-core-i5-8250u
6,8265u,66,https://versus.com/ru/intel-core-i5-8265u
7,8400t,65,https://versus.com/ru/intel-core-i5-8400t
8,8500t,64,https://versus.com/ru/intel-core-i5-8500t
9,9100t,66,https://versus.com/ru/intel-core-i3-9100t
10,9400t,64,https://versus.com/ru/intel-core-i5-9400t
11,amd a-series a6-9225,47,https://versus.com/ru/amd-a6-9225
12,amd a12,53,https://versus.com/ru/amd-a12-9720p
13,amd a12-9720p,53,https://versus.com/ru/amd-a12-9720p
14,amd a4 9125,47,https://versus.com/ru/amd-a4-9125
15,amd a4-9125,47,https://versus.com/ru/amd-a4-9125
16,amd a6 9220,40,https://versus.com/ru/amd-a6-9220c
17,amd a6 9220 2500 мгц,40,https://versus.com/ru/amd-a6-9220c
18,amd a6 9225,47,https://versus.com/ru/amd-a6-9225
19,amd a6-9220,40,https://versus.com/ru/amd-a6-9220c
20,amd a6-9225,47,https://versus.com/ru/amd-a6-9225
21,amd athlon 300u,69,https://versus.com/ru/amd-athlon-300u
22,amd athlon ii 300u,69,https://versus.com/ru/amd-athlon-300u
23,amd ryzen 3 2200u,63,https://versus.com/ru/amd-ryzen-3-2200u
24,amd ryzen 3 3200u,68,https://versus.com/ru/amd-ryzen-3-3200u
25,amd ryzen 3 3300u,69,https://versus.com/ru/amd-ryzen-3-3300u
26,amd ryzen 3200u,68,https://versus.com/ru/amd-ryzen-3-3200u
27,amd ryzen 5 2500u,62,https://versus.com/ru/amd-ryzen-5-2500u
28,amd ryzen 5 3500u,70,https://versus.com/ru/amd-ryzen-5-3500u
29,amd ryzen 5 3550h,68,https://versus.com/ru/amd-ryzen-5-3550h
30,amd ryzen 7 3700u,72,https://versus.com/ru/amd-ryzen-7-3700u
31,amd ryzen 7 3750h,69,https://versus.com/ru/amd-ryzen-7-3750h
32,athlon 300u,69,https://versus.com/ru/amd-athlon-300u
