p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
4267,desktops,100109543,PULSER Advanced 98 черный,387860,PULSER,10,5,intel сore i5-9400f,56,2900,6,gtx 1660 super 6gb,77,6,,true,480,https://kaspi.kz/shop/p/pulser-advanced-98-chernyi-100109543/?c=750000000
4274,desktops,100076325,Acer Nitro N50-600 DG.E0HMC.02A черный,299990,Acer,10,1,intel core i3-8400,65,2800,6,nvidia geforce gtx 1050 ti,54,8,,true,1000,https://kaspi.kz/shop/p/acer-nitro-n50-600-dg-e0hmc-02a-chernyi-100076325/?c=750000000
4287,desktops,1480615,Acer ASPIRE C22-865 DQ.BBRMC.002 серебристый,243620,Acer,10,2,intel core i3 8130u,59,2200,2,intel uhd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c22-865-dq-bbrmc-002-serebristyi-1480615/?c=750000000
4295,desktops,100120419,PULSER Advanced 90 черный,216366,PULSER,9,5,intel сore i3 9100f,55,3600,4,geforce gtx 1050 ti,57,8,,true,480,https://kaspi.kz/shop/p/pulser-advanced-90-chernyi-100120419/?c=750000000
4299,desktops,100036768,PULSER Standard 63 черный,173378,PULSER,10,3,intel core i3 9100f,55,3600,4,geforce gtx 1050 d5 2g,54,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-63-chernyi-100036768/?c=750000000
4313,desktops,100109549,PULSER Advanced 94 черный,325628,PULSER,10,1,intel сore i3 9100f,55,3600,4,gtx 1660 super 6gb,77,6,,true,480,https://kaspi.kz/shop/p/pulser-advanced-94-chernyi-100109549/?c=750000000
4327,desktops,100008570,PULSER Standard 62 черный,159090,PULSER,10,9,intel сore i3-9100f,55,3600,4,asus geforce gt1030,41,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-62-chernyi-100008570/?c=750000000
4330,desktops,100188748,HP Pavilion All-in-One 24-f0160ur 8TY30EA белый,349900,HP,0,0,intel core i5 9400t,64,1800,6,nvidia geforce mx110,41,8,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-24-f0160ur-8ty30ea-belyi-100188748/?c=750000000
4331,desktops,1480647,Acer Aspire C20-820 DQ.BC4MC.004 белый,149900,Acer,10,1,intel celeron j3060,55,1600,2,intel hd graphics 400,13,4,,false,500,https://kaspi.kz/shop/p/acer-aspire-c20-820-dq-bc4mc-004-belyi-1480647/?c=750000000
4345,desktops,1480257,Acer AIO Aspire C24-865 DQ.BBTMC.003 серебристый,239890,Acer,10,4,intel core i3 8130u,59,2200,2,intel hd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/acer-aio-aspire-c24-865-dq-bbtmc-003-serebristyi-1480257/?c=750000000
4349,desktops,1480171,Acer Aspire C24-865 DQ.BBUMC.001 серебристый,299890,Acer,10,7,intel core i5 8250u,60,2200,2,intel hd graphics 620,20,8,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c24-865-dq-bbumc-001-serebristyi-1480171/?c=750000000
4365,desktops,100083674,Lenovo AIO 330-20AST F0D8004YRK черный,135900,Lenovo,0,0,amd a4-9125,47,2300,2,amd radeon r3,18,4,,false,500,https://kaspi.kz/shop/p/lenovo-aio-330-20ast-f0d8004yrk-chernyi-100083674/?c=750000000
4366,desktops,1401872,NETechnics Aerocool Cruisestar,289990,NETechnics,9,8,intel core i5 7400,71,2133,4,gtx 1050 ti,57,8,,true,1000,https://kaspi.kz/shop/p/netechnics-aerocool-cruisestar-1401872/?c=750000000
4372,desktops,100109567,PULSER Advanced 91 черный,237873,PULSER,10,1,intel сore i3 9100f,55,3600,4,gtx 1650 4gb,68,8,,true,480,https://kaspi.kz/shop/p/pulser-advanced-91-chernyi-100109567/?c=750000000
4387,desktops,100057065,PULSER Standard 48 черный,141523,PULSER,10,2,intel pentium gold g5400,62,3700,2,geforce gt 1030 oc + intel uhd graphics 610,50,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-48-chernyi-100057065/?c=750000000
4398,desktops,100010141,PULSER Standard 74 черный,203441,PULSER,10,4,intel core i5 9400f,56,2900,6,gtx 1030 2gb,41,8,,false,1000,https://kaspi.kz/shop/p/pulser-standard-74-chernyi-100010141/?c=750000000
4400,desktops,100039522,PULSER Standard 64 черный,193657,PULSER,10,11,intel core i3 9100f,55,3600,4,gigabyte geforce gtx 1050 (gv-n1050d5-2gd),54,8,,true,480,https://kaspi.kz/shop/p/pulser-standard-64-chernyi-100039522/?c=750000000
4409,desktops,1401577,Apple iMac 21.5 MMQA2 серебристый,599900,Apple,10,6,intel core i5 7360u,58,2300,2,iris plus graphics 650,24,8,,false,1000,https://kaspi.kz/shop/p/apple-imac-21-5-mmqa2-serebristyi-1401577/?c=750000000
4422,desktops,100083075,Acer ASPIRE C22-865 DQ.BBRMC.008 серебристый,212990,Acer,0,0,intel core i3 8130u,59,2200,2,intel hd graphics 620,20,8,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c22-865-dq-bbrmc-008-serebristyi-100083075/?c=750000000
4423,desktops,100120410,PULSER Standard 65 черный,205239,PULSER,10,1,intel сore i3 9100f,55,3600,4,geforce gtx 1050,54,6,,true,480,https://kaspi.kz/shop/p/pulser-standard-65-chernyi-100120410/?c=750000000
4430,desktops,1480555,NETechnics Aerocool Cruisestar 1050,254990,NETechnics,0,0,intel core i3 6100,66,3700,2,gtx 1050 ti,57,8,,true,1000,https://kaspi.kz/shop/p/netechnics-aerocool-cruisestar-1050-1480555/?c=750000000
4432,desktops,100132447,PULSER Advanced 96 черный,307790,PULSER,10,1,intel сore i5-9400f,56,2900,6,geforce gtx 1650,68,8,,true,1240,https://kaspi.kz/shop/p/pulser-advanced-96-chernyi-100132447/?c=750000000
4433,desktops,100080350,PULSER Advanced 121 черный,418008,PULSER,10,7,amd ryzen 5 3500,68,3600,6,geforce gtx 1660 super,77,6,,true,1480,https://kaspi.kz/shop/p/pulser-advanced-121-chernyi-100080350/?c=750000000
4436,desktops,1480558,NETechnics Aerocool Cruisestar 1070,474990,NETechnics,10,6,intel core i7 7700,76,3600,4,gtx 1070,71,6,,true,2000,https://kaspi.kz/shop/p/netechnics-aerocool-cruisestar-1070-1480558/?c=750000000
4458,desktops,100046231,HP All-in-One 22-c0155ur 8XJ79EA белый,239900,HP,10,1,intel core i3 9100t,66,3100,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/hp-all-in-one-22-c0155ur-8xj79ea-belyi-100046231/?c=750000000
4468,desktops,100114445,PULSER Standard 79 черный,201951,PULSER,0,0,amd ryzen 5 3500,68,3600,6,geforce gt 1030,41,8,,true,480,https://kaspi.kz/shop/p/pulser-standard-79-chernyi-100114445/?c=750000000
4485,desktops,100010087,PULSER Standard 61 черный,156062,PULSER,9,2,intel core i3 9100f,55,3600,4,gt 1030,41,8,,false,1000,https://kaspi.kz/shop/p/pulser-standard-61-chernyi-100010087/?c=750000000
4487,desktops,100083471,PULSER Standard 92 черный,147088,PULSER,10,0,amd ryzen 3 3200g,74,3600,4,radeon vega 8 graphics,43,8,,true,1240,https://kaspi.kz/shop/p/pulser-standard-92-chernyi-100083471/?c=750000000
4499,desktops,100044666,Lenovo IdeaCentre A340-22IGM F0EA000PRK черный,199900,Lenovo,0,0,intel pentium j5005,44,1500,4,intel uhd graphics 605,18.5,4,,,1000,https://kaspi.kz/shop/p/lenovo-ideacentre-a340-22igm-f0ea000prk-chernyi-100044666/?c=750000000
4557,desktops,100117174,PULSER Advanced 124 черный,434765,PULSER,0,0,amd ryzen 5 3500,68,3600,6,radeon rx 5600 xt,84,6,,true,512,https://kaspi.kz/shop/p/pulser-advanced-124-chernyi-100117174/?c=750000000
4571,desktops,100010016,Lenovo A340-22IGM F0EA000DRK черный,195900,Lenovo,10,0,intel pentium j5005,44,1500,4,intel uhd 600,18,4,,false,1000,https://kaspi.kz/shop/p/lenovo-a340-22igm-f0ea000drk-chernyi-100010016/?c=750000000
4578,desktops,100097319,PULSER Advanced 92 черный,270850,PULSER,0,0,9100f,55,3600,4,nvidia gtx 1650 super,71,4,,true,1240,https://kaspi.kz/shop/p/pulser-advanced-92-chernyi-100097319/?c=750000000
4579,desktops,100076390,Acer Aspire S24-880 DQ.BA8MC.004 черный,519990,Acer,0,0,intel core i7 8550u,64,1800,4,intel uhd graphics 620,20,6,,false,1000,https://kaspi.kz/shop/p/acer-aspire-s24-880-dq-ba8mc-004-chernyi-100076390/?c=750000000
4595,desktops,100046241,HP Pavilion All-in-One 24-f1021ur 8XN72EA черный,225990,HP,6,0,amd ryzen 3 3200u,68,2600,2,amd radeon vega 3,18,4,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-24-f1021ur-8xn72ea-chernyi-100046241/?c=750000000
4598,desktops,100057270,Lenovo A340-22IGM F0EA000HRK черный,159900,Lenovo,0,0,intel celeron j4005,44,2000,2,intel uhd graphics 600,18,4,,false,1000,https://kaspi.kz/shop/p/lenovo-a340-22igm-f0ea000hrk-chernyi-100057270/?c=750000000
4600,desktops,100093524,Acer Aspire C24-865 DQ.BBTMC.002 серебристый,215900,Acer,0,0,8130u,59,2200,2,intel uhd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c24-865-dq-bbtmc-002-serebristyi-100093524/?c=750000000
4601,desktops,100010161,PULSER Standard 58 черный,128530,PULSER,0,0,intel core i3 8100,64,3600,4,intel uhd 630,20,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-58-chernyi-100010161/?c=750000000
4603,desktops,100119107,Lenovo Ideacentre A340-24ICK F0ER002URK черный,293690,Lenovo,10,4,intel core i5 9400t,64,1800,6,intel uhd graphics 630,21,8,,false,1000,https://kaspi.kz/shop/p/lenovo-ideacentre-a340-24ick-f0er002urk-chernyi-100119107/?c=750000000
4608,desktops,100123847,HP 22-c0013ur 4GV19EA белый,199990,HP,0,0,intel pentium j5005,44,1500,4,intel uhd graphics 605,18.5,4,,false,500,https://kaspi.kz/shop/p/hp-22-c0013ur-4gv19ea-belyi-100123847/?c=750000000
4610,desktops,100076292,Acer Aspire Z24-890 DQ.BCBMC.00B серебристый,399990,Acer,0,0,intel core i5 8400,66,2800,6,nvidia geforce mx150,47,8,,false,1000,https://kaspi.kz/shop/p/acer-aspire-z24-890-dq-bcbmc-00b-serebristyi-100076292/?c=750000000
4630,desktops,100114575,NETechnics GameMax G563 i3 черный,239990,NETechnics,10,2,8100,64,3600,4,rx 580,70,8,,true,240,https://kaspi.kz/shop/p/netechnics-gamemax-g563-i3-chernyi-100114575/?c=750000000
4632,desktops,100109538,PULSER Advanced 99 черный,417825,PULSER,10,1,intel сore i5-9400f,56,2900,6,gtx 1660 super,77,8,,true,1480,https://kaspi.kz/shop/p/pulser-advanced-99-chernyi-100109538/?c=750000000
4662,desktops,100055454,PULSER Standard 49 черный,163650,PULSER,0,0,intel pentium gold g5400,62,3700,2,geforce gtx 1050 d5 2g + intel uhd graphics 610,54,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-49-chernyi-100055454/?c=750000000
4671,desktops,1480788,HP M01-D0051ur 8RS38EA черный,189900,HP,10,1,amd ryzen 3 3200g,74,3600,4,amd radeon vega 8,40,4,,true,256,https://kaspi.kz/shop/p/hp-m01-d0051ur-8rs38ea-chernyi-1480788/?c=750000000
