id,gpu,rate,url
1,amd radeon 460 + intel hd graphics 630,55,https://versus.com/ru/amd-radeon-rx-460
2,amd radeon 520,37,https://versus.com/ru/amd-radeon-520
3,amd radeon 530,35, https://versus.com/ru/amd-radeon-530
4,amd radeon 530 + intel uhd graphics 620,35,https://versus.com/ru/amd-radeon-530
5,amd radeon 530 + intel uhd graphics 630,35,https://versus.com/ru/amd-radeon-530
6,amd radeon 530 4gb,35,https://versus.com/ru/amd-radeon-530
7,amd radeon 530x,35,https://versus.com/ru/amd-radeon-530
8,amd radeon 535,39,https://versus.com/ru/amd-radeon-535
9,amd radeon r3,18,""
10,amd radeon r4,19,""
11,amd radeon r4 graphics,19,""
12,amd radeon r5,39,https://versus.com/ru/amd-radeon-r5
13,amd radeon r7,52,https://versus.com/ru/amd-radeon-r7-370
14,amd radeon r7 m465 + intel hd graphics 620,52,""
15,amd radeon radeon r3,19,""
16,amd radeon radeon vega 8,40,https://versus.com/ru/amd-radeon-vega-8
17,amd radeon rx 550,57,https://versus.com/ru/amd-radeon-rx-550
18,amd radeon rx 550 + intel uhd 630,57,https://versus.com/ru/amd-radeon-rx-550
19,amd radeon rx 560x,55,https://versus.com/ru/amd-radeon-rx-560x
20,amd radeon rx vega 10,42,""
21,amd radeon rx vega 10 graphics,42,""
22,amd radeon rx vega 8,40,https://versus.com/ru/amd-radeon-vega-8
23,amd radeon rx vega m gl,42,""
24,amd radeon rx560x,55,https://versus.com/ru/amd-radeon-rx-560x
25,amd radeon vega 10,42,""
26,amd radeon vega 3,18,""
27,amd radeon vega 3 + amd radeon 530,35, https://versus.com/ru/amd-radeon-530
28,amd radeon vega 3 + radeon 540x,48,https://versus.com/ru/amd-radeon-rx-540x
29,amd radeon vega 3 graphics,35,""
30,amd radeon vega 6,38,""
31,amd radeon vega 8,40,https://versus.com/ru/amd-radeon-vega-8
32,amd radeon vega 8 + amd radeon rx 560,51,https://versus.com/ru/amd-radeon-rx-560
33,amd radeon vega 8 + nvidia gtx 1650,68,https://versus.com/ru/nvidia-geforce-gtx-1650
34,amd radeon vega 8 + radeon 540x,48,https://versus.com/ru/amd-radeon-rx-540x
35,amd radeon vega 8 graphics,40,https://versus.com/ru/amd-radeon-vega-8
36,amd radeon vega r540,48,https://versus.com/ru/amd-radeon-rx-540
37,geforce gtx 1050ti,54,https://versus.com/ru/nvidia-geforce-gtx-1050-ti
38,geforce gtx 1650,68,https://versus.com/ru/nvidia-geforce-gtx-1650
39,geforce gtx 1660 ti 6gb,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
40,geforce mx250,49,https://versus.com/ru/nvidia-geforce-mx250
41,hd 630,21,""
42,intel geforce gtx 1650,68,https://versus.com/ru/nvidia-geforce-gtx-1650
43,intel hd 620,19,""
44,intel hd graphics,15,""
45,intel hd graphics 400,13,""
46,intel hd graphics 405,14,""
47,intel hd graphics 4400,11,""
48,intel hd graphics 500,16,""
49,intel hd graphics 520,18,""
50,intel hd graphics 5500,12,""
51,intel hd graphics 600,18,""
52,intel hd graphics 6000,13,""
53,intel hd graphics 610,18,""
54,intel hd graphics 615,19,""
55,intel hd graphics 620,20,""
56,intel hd graphics 620 + amd radeon 530,35,https://versus.com/ru/amd-radeon-530
57,intel hd graphics 620 + amd radeon rx 540,48,https://versus.com/ru/amd-radeon-rx-540
58,intel hd graphics 620 + nvidia geforce mx 130,42,https://versus.com/ru/nvidia-geforce-mx130
59,intel hd graphics 620 + nvidia geforce mx110,41,https://versus.com/ru/nvidia-geforce-mx110
60,intel hd graphics 630,21,""
61,intel hd graphics 630 + nvidia geforce rtx 2060,79,https://versus.com/ru/nvidia-geforce-rtx-2060
62,intel iris,21,""
63,intel iris plus,21,""
64,intel iris plus graphics,21,""
65,intel iris plus graphics 640,22,""
66,intel iris plus graphics 645,23,""
67,intel iris plus graphics 650,24,""
68,intel iris plus graphics 655,25,""
69,intel uhd 600,18,""
70,intel uhd 620,19,""
71,intel uhd 630,20,""
72,intel uhd 630 + nvidia geforce gtx 1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
73,intel uhd graphics,15,""
74,intel uhd graphics 600,18,""
75,intel uhd graphics 605,18.5,""
76,intel uhd graphics 610,19,""
77,intel uhd graphics 615,19.5,""
78,intel uhd graphics 617,19.7,""
79,intel uhd graphics 620,20,""
80,intel uhd graphics 620 + amd radeon 530,35,https://versus.com/ru/amd-radeon-530
81,intel uhd graphics 620 + md radeon 520,37,https://versus.com/ru/amd-radeon-520
82,intel uhd graphics 620 + nvidia geforce gtx 1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
83,intel uhd graphics 620 + nvidia geforce mx110,41,https://versus.com/ru/nvidia-geforce-mx110
84,intel uhd graphics 620 + nvidia geforce mx130,42,https://versus.com/ru/nvidia-geforce-mx130
85,intel uhd graphics 620 + nvidia geforce mx230,49,https://versus.com/ru/nvidia-geforce-mx230
86,intel uhd graphics 620 + nvidia geforce mx250,49,https://versus.com/ru/nvidia-geforce-mx250
87,intel uhd graphics 630,21,""
88,intel uhd graphics 630 + amd radeon 530,35,https://versus.com/ru/amd-radeon-530
89,intel uhd graphics 630 + nvidia geforce gtx 1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
90,intel uhd graphics 630 + nvidia geforce gtx 1650,68,https://versus.com/ru/nvidia-geforce-gtx-1650
91,intel uhd graphics 630 + nvidia geforce gtx 1660ti,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
92,intel uhd graphics 650,21.5,""
93,intel uhd graphics sma,18,""
94,iris plus graphics 650,24,""
95,nvidia geforc rtx 2060 + intel uhd graphics 630,79,https://versus.com/ru/nvidia-geforce-rtx-2060
96,nvidia geforce 130mx,42,https://versus.com/ru/nvidia-geforce-mx130
97,nvidia geforce 940mx + intel hd graphics 520,40,https://versus.com/ru/nvidia-geforce-940mx
98,nvidia geforce 940mx + intel hd graphics 620,40,https://versus.com/ru/nvidia-geforce-940mx
