p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
4229,notebooks,100011103,Acer Extensa EX2519-P07G NX.EFAER.059 черный,149900,Acer,10,33,intel pentium n3710,49,1600,4,intel hd graphics 405,14,4,DDR3L,false,1000,https://kaspi.kz/shop/p/acer-extensa-ex2519-p07g-nx-efaer-059-chernyi-100011103/?c=750000000
4230,notebooks,1307545,Lenovo S145-15AST 81N30050RK черный,112221,Lenovo,10,54,amd a6-9225,47,2600,2,amd radeon r4,19,4,DDR4,false,500,https://kaspi.kz/shop/p/lenovo-s145-15ast-81n30050rk-chernyi-1307545/?c=750000000
4231,notebooks,100170834,HP 255 G7 6HM04EA черный,99900,HP,10,8,amd a4 9125,47,2300,2,amd radeon r3,18,4,DDR4,false,500,https://kaspi.kz/shop/p/hp-255-g7-6hm04ea-chernyi-100170834/?c=750000000
4232,notebooks,1307555,ASUS X507MA-EJ305T 90NB0HL1-M05420 черный-серебристый,129990,ASUS,9,19,intel pentium n5000,45,1100,4,intel uhd graphics 605,18.5,4,DDR4,false,500,https://kaspi.kz/shop/p/asus-x507ma-ej305t-90nb0hl1-m05420-chernyi-serebristyi-1307555/?c=750000000
4233,notebooks,100055405,ASUS X509UJ-EJ037T 90NB0N72-M00430 серый,199990,ASUS,10,11,intel core i3 7020u,59,2300,2,nvidia geforce mx230,49,4,DDR4,false,1000,https://kaspi.kz/shop/p/asus-x509uj-ej037t-90nb0n72-m00430-seryi-100055405/?c=750000000
4234,notebooks,100104755,Acer Aspire A315-54K NX.HEEER.01F черный,183988,Acer,10,29,intel core i3 6006u,58,2000,2,intel hd graphics 520,18,4,DDR4,false,1000,https://kaspi.kz/shop/p/acer-aspire-a315-54k-nx-heeer-01f-chernyi-100104755/?c=750000000
4236,notebooks,100104481,Acer Nitro 5 AN515-43 NH.Q6NER.003 черный,298890,Acer,10,19,amd ryzen 5 3550h,68,2100,4,nvidia geforce gtx 1050 ti + amd radeon vega 8,54,6,DDR4,true,512,https://kaspi.kz/shop/p/acer-nitro-5-an515-43-nh-q6ner-003-chernyi-100104481/?c=750000000
4237,notebooks,100090352,Lenovo Legion Y7000 81T0001CRK черный,369900,Lenovo,10,15,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1650 + intel uhd graphics 630,68,8,DDR4,true,1128,https://kaspi.kz/shop/p/lenovo-legion-y7000-81t0001crk-chernyi-100090352/?c=750000000
4241,notebooks,100023514,Acer Nitro 5 AN515-54 NH.Q5AER.01P черный,349900,Acer,10,34,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1050 + intel uhd graphics 630,54,8,DDR4,true,512,https://kaspi.kz/shop/p/acer-nitro-5-an515-54-nh-q5aer-01p-chernyi-100023514/?c=750000000
4243,notebooks,1307566,Acer EX2519 NX.EFAER.12A черный,165990,Acer,9,19,intel pentium n3710,49,1600,4,intel hd graphics 405,14,4,DDR3L,false,1000,https://kaspi.kz/shop/p/acer-ex2519-nx-efaer-12a-chernyi-1307566/?c=750000000
