cpu,rate,versus
,,
3200u,68,https://versus.com/ru/amd-ryzen-3-3200u
7100,72,https://versus.com/ru/intel-core-i3-7100
7500,72,https://versus.com/ru/intel-core-i5-7500
8130u,59,https://versus.com/ru/intel-core-i3-8130u
8145u,,
8250u,60,https://versus.com/ru/intel-core-i5-8250u
8265u,66,https://versus.com/ru/intel-core-i5-8265u
8400t,65,https://versus.com/ru/intel-core-i5-8400t
8500t,64,https://versus.com/ru/intel-core-i5-8500t
9100t,66,https://versus.com/ru/intel-core-i3-9100t
9120,,
9400t,64,https://versus.com/ru/intel-core-i5-9400t
amd a-series a6-9225,47,https://versus.com/ru/amd-a6-9225
amd a12,53,https://versus.com/ru/amd-a12-9720p
amd a12 9730p,,
amd a12-9720p,53,https://versus.com/ru/amd-a12-9720p
amd a12-9800b,,
amd a4 9120,,
amd a4 9125,47,https://versus.com/ru/amd-a4-9125
amd a4-9120e,,
amd a4-9125,47,https://versus.com/ru/amd-a4-9125
amd a6 9220,40,https://versus.com/ru/amd-a6-9220c
amd a6 9220 2500 мгц,40,https://versus.com/ru/amd-a6-9220c
amd a6 9225,47,https://versus.com/ru/amd-a6-9225
amd a6-9220,40,https://versus.com/ru/amd-a6-9220c
amd a6-9225,47,https://versus.com/ru/amd-a6-9225
amd a9-9420,,
amd athlon 300u,69,https://versus.com/ru/amd-athlon-300u
amd athlon ii 300u,69,https://versus.com/ru/amd-athlon-300u
amd ryzen 3,,
amd ryzen 3 2200u,63,https://versus.com/ru/amd-ryzen-3-2200u
amd ryzen 3 3200u,68,https://versus.com/ru/amd-ryzen-3-3200u
amd ryzen 3 3300u,69,https://versus.com/ru/amd-ryzen-3-3300u
amd ryzen 3200u,68,https://versus.com/ru/amd-ryzen-3-3200u
amd ryzen 5 2500u,62,https://versus.com/ru/amd-ryzen-5-2500u
amd ryzen 5 3500u,70,https://versus.com/ru/amd-ryzen-5-3500u
amd ryzen 5 3550h,68,https://versus.com/ru/amd-ryzen-5-3550h
amd ryzen 7 3700u,72,https://versus.com/ru/amd-ryzen-7-3700u
amd ryzen 7 3750h,69,https://versus.com/ru/amd-ryzen-7-3750h
athlon 300u,69,https://versus.com/ru/amd-athlon-300u
celeron j4005,44,https://versus.com/ru/intel-celeron-j4005
celeron n4000,22,https://versus.com/ru/intel-celeron-n4000
core i3 6006u,58,https://versus.com/ru/intel-core-i3-6006u
core i3 7020u,59,https://versus.com/ru/intel-core-i3-7020u
core i3 7130u,,
core i5,,
core i5 8250u,60,https://versus.com/ru/intel-core-i5-8250u
core i5 8265u,66,https://versus.com/ru/intel-core-i5-8265u
core i5 8300h,77,https://versus.com/ru/intel-core-i5-8300h
core i7 10510u,78,https://versus.com/ru/intel-core-i7-10510u
core i7 1065g7,78,https://versus.com/ru/intel-core-i7-1065g7
core pentium n5000,45,https://versus.com/ru/intel-pentium-silver-n5000
intel atom e8000,44,https://versus.com/ru/intel-atom-x5-e8000
intel celeron 3867u,48,https://versus.com/ru/intel-celeron-3867u
intel celeron 4205u,49,https://versus.com/ru/intel-celeron-4205u
intel celeron dual core 1007u,50,https://versus.com/ru/intel-celeron-1007u
intel celeron j3060,55,https://versus.com/ru/intel-celeron-j3060
intel celeron j4005,44,https://versus.com/ru/intel-celeron-j4005
intel celeron n3060,41,https://versus.com/ru/intel-celeron-n3060
intel celeron n3350,49,https://versus.com/ru/intel-celeron-n3350
intel celeron n4000,22https://versus.com/ru/intel-celeron-n4000,
intel core i3,,
intel core i3 1005g1,72,https://versus.com/ru/intel-core-i3-1005g1
intel core i3 10110u,71,https://versus.com/ru/intel-core-i3-10110u
intel core i5 1035g1,78,https://versus.com/ru/intel-core-i5-1035g1
intel core i3 5005u,56,https://versus.com/ru/intel-core-i3-5005u
intel core i3 6006u,58,https://versus.com/ru/intel-core-i3-6006u
intel core i3 7020u,59,https://versus.com/ru/intel-core-i3-7020u
intel core i3 7100,72,https://versus.com/ru/intel-core-i3-7100
intel core i3 7100u,60,https://versus.com/ru/intel-core-i3-7100u
intel core i5 7200u,65,https://versus.com/ru/intel-core-i5-7200u
intel core i3 8100t,72,https://versus.com/ru/intel-core-i3-8100t
intel core i3 8130u,59,https://versus.com/ru/intel-core-i3-8130u
intel core i3 8145u,,
intel core i3 9100t,66,https://versus.com/ru/intel-core-i3-9100t
intel core i3-10110u,71,https://versus.com/ru/intel-core-i3-10110u
intel core i3-6006u,58,https://versus.com/ru/intel-core-i3-6006u
intel core i3-7020u,59,https://versus.com/ru/intel-core-i3-7020u
intel core i3-8100t,72,https://versus.com/ru/intel-core-i3-8100t
intel core i3-8130u,59,https://versus.com/ru/intel-core-i3-8130u
intel core i3-8145u,,
intel core i3-9100t,66,https://versus.com/ru/intel-core-i3-9100t
intel core i5,,
intel core i5 10210u,76,https://versus.com/ru/intel-core-i5-10210u
intel core i5 1035g1,78,https://versus.com/ru/intel-core-i5-1035g1
intel core i5 1035g4,76,https://versus.com/ru/intel-core-i5-1035g4
intel core i5 6200u,60,https://versus.com/ru/intel-core-i5-6200u
intel core i5 7200u,65,https://versus.com/ru/intel-core-i5-7200u
intel core i5 7300u,61,https://versus.com/ru/intel-core-i5-7300u
intel core i5 7360u,58,https://versus.com/ru/intel-core-i5-7360u
intel core i5 7500,72,https://versus.com/ru/intel-core-i5-7500
intel core i5 7500t,70,https://versus.com/ru/intel-core-i5-7500t
intel core i7 7500u,67,https://versus.com/ru/intel-core-i7-7500u
intel core i5 8200y,65,https://versus.com/ru/intel-core-i5-8200y
intel core i5 8210y,,
intel core i5 8250u,60,https://versus.com/ru/intel-core-i5-8250u
intel core i5 8250u 1600 мгц,60,https://versus.com/ru/intel-core-i5-8250u
intel core i5 8257u,71,https://versus.com/ru/intel-core-i5-8257u
intel core i5 8265u,66,https://versus.com/ru/intel-core-i5-8265u
intel core i5 8300h,77,https://versus.com/ru/intel-core-i5-8300h
intel core i5 8350u,61,https://versus.com/ru/intel-core-i5-8350u
intel core i5 8365u,,
intel core i5 8400,66,https://versus.com/ru/intel-core-i5-8400
intel core i5 8400t,65,https://versus.com/ru/intel-core-i5-8400t
intel core i5 8500,69,https://versus.com/ru/intel-core-i5-8500
intel core i5 8500t,64,https://versus.com/ru/intel-core-i5-8500t
intel core i5 9300h,68,https://versus.com/ru/intel-core-i5-9300h
intel core i5 9300hf,,
intel core i5 9400t,64,https://versus.com/ru/intel-core-i5-9400t
intel core i5-10210u,76,https://versus.com/ru/intel-core-i5-10210u
intel core i5-1035g4,76,https://versus.com/ru/intel-core-i5-1035g4
intel core i5-8250u,60,https://versus.com/ru/intel-core-i5-8250u
intel core i5-8265u,66,https://versus.com/ru/intel-core-i5-8265u
intel core i5-8500t,64,https://versus.com/ru/intel-core-i5-8500t
intel core i5-9400t,64,https://versus.com/ru/intel-core-i5-9400t
intel core i7,,
intel core i7 10510u,78,https://versus.com/ru/intel-core-i7-10510u
intel core i7 1065g7,78,https://versus.com/ru/intel-core-i7-1065g7
intel core i7 7700,76,https://versus.com/ru/intel-core-i7-7700
intel core i7 7700hq,74,https://versus.com/ru/intel-core-i7-7700hq
intel core i7 8265u,,
intel core i7 8550u,64,https://versus.com/ru/intel-core-i7-8550u
intel core i7 8550u 1800 мгц,64,https://versus.com/ru/intel-core-i7-8550u
intel core i7 8565u,,
intel core i7 8650u,64,https://versus.com/ru/intel-core-i7-8650u
intel core i7 8700,71,https://versus.com/ru/intel-core-i7-8700
intel core i7 8705g,65,https://versus.com/ru/intel-core-i7-8705g
intel core i7 8750h,85,https://versus.com/ru/intel-core-i7-8750h
intel core i7 9700t,68,https://versus.com/ru/intel-core-i7-9700t
intel core i7 9750h,93,https://versus.com/ru/intel-core-i7-9750h
intel core i7-1065g7,78,https://versus.com/ru/intel-core-i7-1065g7
intel core i7-8550u,64,https://versus.com/ru/intel-core-i7-8550u
intel core i7-8565u,,
intel core i7-8700t,69,https://versus.com/ru/intel-core-i7-8700t
intel core i7-9750h,93,https://versus.com/ru/intel-core-i7-9750h
intel core i9 9880h,,
intel core m3,,
intel core m3 7y32,,
intel pentium 4415u,50,https://versus.com/ru/intel-pentium-gold-4415y
intel pentium 5405u,54,https://versus.com/ru/intel-pentium-gold-5405u
intel pentium g4560,62,https://versus.com/ru/intel-pentium-gold-g4560
intel pentium g4600,67,https://versus.com/ru/intel-pentium-g4600
intel pentium gold,,
intel pentium gold 4417u,54,https://versus.com/ru/intel-pentium-4417u
intel pentium gold 5405u,54,https://versus.com/ru/intel-pentium-5405u
intel pentium j5005,44,https://versus.com/ru/intel-pentium-silver-j5005
intel pentium n3710,49,https://versus.com/ru/intel-pentium-n3710?q=n3710
intel pentium n4000,22,https://versus.com/ru/intel-celeron-n4000
intel pentium n5000,45,https://versus.com/ru/intel-pentium-silver-n5000
intel pentium silver n5000,45,https://versus.com/ru/intel-pentium-silver-n5000
pentium,,
pentium n5000,45,https://versus.com/ru/intel-pentium-silver-n5000
ryzen 3 2200u,63, https://versus.com/ru/amd-ryzen-3-2200u
ryzen 3 3200u,68,https://versus.com/ru/amd-ryzen-3-3200u
ryzen 5 3500u,70,https://versus.com/ru/amd-ryzen-5-3500u
