gpu,rate,versus
amd radeon r7 430 + intel hd graphics 630,20,
amd radeon rx 550 + intel uhd graphics 610,57,https://versus.com/ru/amd-radeon-rx-550
amd radeon rx 570,66,https://versus.com/ru/amd-radeon-rx-570
amd radeon rx vega 11,24,
amd radeon vega 3,20,
amd radeon vega 8,40,https://versus.com/ru/amd-radeon-vega-8
amd vega 11,24,
asus geforce gt1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
asus geforce gtx 1050 3gb,63,https://versus.com/ru/asus-phoenix-geforce-gtx-1050
asus geforce gtx 1050 ti,66,https://versus.com/ru/asus-rog-strix-geforce-gtx-1050-ti
asus geforce rtx 2060 super 8gb,80,https://versus.com/ru/asus-rog-strix-geforce-rtx-2060-gaming-advanced
asus rtx 2070 super,85,https://versus.com/ru/asus-dual-geforce-rtx-2070-super-evo-advanced
colorful geforce gtx 1060,70,https://versus.com/ru/gigabyte-geforce-gtx-1060-g1-gaming
gainward gtx 1650 ghost,69,https://versus.com/ru/gainward-geforce-gtx-1650-ghost
gainward rtx 2060 super phoenix 8gb,84,https://versus.com/ru/gainward-geforce-rtx-2060-super-phoenix-gs
geforce gt 1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
geforce gt 1030 oc + intel uhd graphics 610,50,https://versus.com/ru/msi-geforce-gt-1030-2g-lp-oc
geforce gtx 1030 2gb,50,https://versus.com/ru/msi-geforce-gt-1030-2g-lp-oc
geforce gtx 1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
geforce gtx 1050 2gb,54,https://versus.com/ru/nvidia-geforce-gtx-1050
geforce gtx 1050 d5 2g,54,https://versus.com/ru/nvidia-geforce-gtx-1050
geforce gtx 1050 d5 2g + intel uhd graphics 610,54,https://versus.com/ru/nvidia-geforce-gtx-1050
geforce gtx 1050 ti,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
geforce gtx 1050ti,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
geforce gtx 1060,63,https://versus.com/ru/nvidia-geforce-gtx-1060
geforce gtx 1070,71,https://versus.com/ru/nvidia-geforce-gtx-1070
geforce gtx 1650,68,https://versus.com/ru/nvidia-geforce-gtx-1650
geforce gtx 1650 super,71,https://versus.com/ru/nvidia-geforce-gtx-1650-super
geforce gtx 1660 super,77,https://versus.com/ru/nvidia-geforce-gtx-1660-super
geforce gtx1050ti,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
geforce rtx 2060 6gb,79,https://versus.com/ru/nvidia-geforce-rtx-2060
geforce rtx 2060 super gaming oc 3x white,78,https://versus.com/ru/gigabyte-geforce-rtx-2060-super-gaming-oc
geforce rtx 2070 super,87,https://versus.com/ru/nvidia-geforce-rtx-2070-super
geforce rtx 2070 super gaming oc 3x white,82,https://versus.com/ru/asus-rog-strix-geforce-rtx-2070-super-gaming-oc
geil gtx1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
gigabyte geforce gtx 1050 (gv-n1050d5-2gd),54,https://versus.com/ru/nvidia-geforce-gtx-1050
gigabyte geforce gtx 1650 4gb,68,https://versus.com/ru/nvidia-geforce-gtx-1650
gigabyte geforce gtx 1660 super,77,https://versus.com/ru/nvidia-geforce-gtx-1660-super
