id,product_id,type,cpu,hertz,cores,gpu,ram,ram_type,ssd,drive_size,extra,created_at
1,100008550,системный блок,intel сore i5-9400f,2900,6,geforce gtx 1030 2gb,8,,true,1240,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i5-9400F"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GeForce GTX 1030 2Gb"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""2900 МГц"", ""Объем жесткого диска"": ""1240 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""USB 2.0 x2, наушники, микрофон"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
2,1480615,моноблок,intel core i3 8130u,2200,2,intel uhd graphics 620,4,,false,1000,"{""Wi-Fi"": ""да"", ""Вес"": ""3.8 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""серебристый"", ""Картридер"": ""да"", ""Мультитач"": ""нет"", ""Процессор"": ""Intel Core i3 8130U"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""21.5 дюйм"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Intel UHD Graphics 620"", ""Габариты (ДхШхТ)"": ""49x36.5x19 см"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""DOS"", ""Разрешение экрана"": ""1920x1080"", ""Частота процессора"": ""2200 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Количество интерфейсов"": ""2 x USB 2.0, 2 x USB 3.0, 1 x HDMI-Out, 1 x RJ-45"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""4 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
3,100076325,системный блок,intel core i3-8400,2800,6,nvidia geforce gtx 1050 ti,8,,true,1000,"{""Вес"": ""7.4 кг"", ""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Core i3-8400"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""NVIDIA GeForce GTX 1050 Ti"", ""Габариты (ДхШхТ)"": ""340x163x350 мм"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""4096 Мб"", ""Частота процессора"": ""2800 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""4x USB 2.0, network (RJ-45)"", ""Тип оптического привода"": ""DVD±RW"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""игровой компьютер"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
4,100010158,системный блок,amd ryzen 3 1200,3100,4,msi geforce gt 1030,8,,true,240,"{""Тип"": ""системный блок"", ""Процессор"": ""AMD Ryzen 3 1200"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""MSi GeForce GT 1030"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""3100 МГц"", ""Объем жесткого диска"": ""240 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
5,1480647,моноблок,intel celeron j3060,1600,2,intel hd graphics 400,4,,false,500,"{""Wi-Fi"": ""да"", ""Тип"": ""моноблок"", ""Цвет"": ""белый"", ""Процессор"": ""Intel Celeron J3060"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""19.5 дюйм"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Intel HD Graphics 400"", ""Габариты (ДхШхТ)"": ""478x386x30 мм"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""Linux"", ""Разрешение экрана"": ""1600x900"", ""Частота процессора"": ""1600 МГц"", ""Объем жесткого диска"": ""500 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Количество интерфейсов"": ""2x USB 2.0, USB 3.1, network (RJ-45)"", ""Размер оперативной памяти"": ""4 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
6,100109549,системный блок,intel сore i3 9100f,3600,4,gtx 1660 super 6gb,6,,true,480,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i3 9100F"", ""Интерфейс HDMI"": ""да"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GTX 1660 SUPER 6Gb"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""6144 Мб"", ""Частота процессора"": ""3600 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""480 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""2х USB 2.0, 1х USB 3.0"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""16 Гб"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
7,100008570,системный блок,intel сore i3-9100f,3600,4,asus geforce gt1030,8,,true,240,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i3-9100F"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""ASUS GeForce GT1030"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""240 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""USB 2.0 x2, микрофон, наушники"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
59,100141304,системный блок,amd dual-core e1-2500,1400,,,8,,true,240,"{""Wi-Fi"": ""нет"", ""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Картридер"": ""нет"", ""Процессор"": ""AMD Dual-Core E1-2500"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""встроенная"", ""Установленная ОС"": ""DOS"", ""Частота процессора"": ""1400 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""240 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""2х USB 2.0, 1х USB 3.0"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб""}",2020-04-29
8,100036768,системный блок,intel core i3 9100f,3600,4,geforce gtx 1050 d5 2g,8,,true,240,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Core i3 9100F"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GeForce GTX 1050 D5 2G"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""240 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""USB 2.0 x2, микрофон, наушники"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""блок питания на 400 Вт"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
9,1480257,моноблок,intel core i3 8130u,2200,2,intel hd graphics 620,4,,false,1000,"{""Wi-Fi"": ""да"", ""Вес"": ""4 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""серебристый"", ""Картридер"": ""да"", ""Мультитач"": ""нет"", ""Процессор"": ""Intel Core i3 8130U"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""23.8 дюйм"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Intel HD Graphics 620"", ""Габариты (ДхШхТ)"": ""321x540x11.6 мм"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""Win 10"", ""Разрешение экрана"": ""1920x1080"", ""Частота процессора"": ""2200 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Количество интерфейсов"": ""2 x USB 3.1, 2 x USB 2.0, 1 X RJ-45, 1 x HDMI"", ""Размер оперативной памяти"": ""4 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
